Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Salary
Anthony Volpe,23.0,NYY,AL,3.4,160.0,689.0,637.0,90.0,155.0,27.0,7.0,12.0,60.0,28.0,7.0,42.0,156.0,0.243,0.293,0.364,0.657,86.0,0.296,84.0,232.0,9.0,4.0,2.0,3.0,1.0,*6/H,,"$1,228,964 "
Willy Adames,28.0,MIL,NL,3.1,161.0,688.0,610.0,93.0,153.0,33.0,0.0,32.0,112.0,21.0,4.0,74.0,173.0,0.251,0.331,0.462,0.794,119.0,0.348,117.0,282.0,12.0,1.0,0.0,3.0,3.0,*6,MVP-10,"$12,250,000 "
Marcell Ozuna,33.0,ATL,NL,4.3,162.0,688.0,606.0,96.0,183.0,31.0,0.0,39.0,104.0,1.0,0.0,74.0,170.0,0.302,0.378,0.546,0.925,153.0,0.394,154.0,331.0,23.0,3.0,0.0,4.0,2.0,*D,"AS,MVP-4","$16,000,000 "
Matt Olson,30.0,ATL,NL,3.8,162.0,685.0,600.0,78.0,148.0,37.0,1.0,29.0,98.0,0.0,0.0,71.0,170.0,0.247,0.333,0.457,0.79,117.0,0.342,117.0,274.0,15.0,9.0,0.0,5.0,5.0,*3,,"$22,000,000 "
Corbin Carroll,23.0,ARI,NL,3.4,158.0,684.0,589.0,121.0,136.0,22.0,14.0,22.0,74.0,35.0,8.0,73.0,130.0,0.231,0.322,0.428,0.749,107.0,0.333,106.0,252.0,3.0,10.0,3.0,9.0,0.0,*89/H,,"$3,535,533 "
Jose Altuve,34.0,HOU,AL,3.4,153.0,682.0,628.0,94.0,185.0,31.0,0.0,20.0,65.0,22.0,7.0,47.0,119.0,0.295,0.35,0.439,0.79,124.0,0.348,126.0,276.0,15.0,7.0,0.0,0.0,2.0,*4/DH,"AS,MVP-15,SS","$41,000,000 "
William Contreras,26.0,MIL,NL,4.9,155.0,679.0,595.0,99.0,167.0,37.0,2.0,23.0,92.0,9.0,2.0,78.0,139.0,0.281,0.365,0.466,0.831,130.0,0.361,129.0,277.0,19.0,3.0,0.0,3.0,5.0,*2D/H,"AS,MVP-5,SS","$2,489,074 "
Gleyber Torres,27.0,NYY,AL,1.8,154.0,665.0,587.0,80.0,151.0,26.0,0.0,15.0,63.0,4.0,3.0,65.0,136.0,0.257,0.33,0.378,0.709,102.0,0.318,103.0,222.0,6.0,3.0,2.0,8.0,0.0,*4/H,,"$14,200,000 "
Brandon Nimmo,31.0,NYM,NL,2.2,151.0,663.0,571.0,88.0,128.0,25.0,3.0,23.0,90.0,15.0,0.0,77.0,158.0,0.224,0.327,0.399,0.727,108.0,0.331,111.0,228.0,7.0,12.0,0.0,3.0,1.0,*78/DH,,"$20,250,000 "
Taylor Ward,30.0,LAA,AL,2.3,156.0,663.0,585.0,73.0,144.0,26.0,2.0,25.0,75.0,6.0,4.0,63.0,163.0,0.246,0.323,0.426,0.748,110.0,0.329,111.0,249.0,11.0,7.0,0.0,8.0,0.0,*7D,,"$4,800,000 "
Nick Castellanos,32.0,PHI,NL,0.8,162.0,659.0,606.0,80.0,154.0,30.0,4.0,23.0,86.0,6.0,2.0,41.0,139.0,0.254,0.311,0.431,0.742,105.0,0.327,108.0,261.0,14.0,10.0,0.0,2.0,2.0,*9/D,,"$20,000,000 "
Spencer Steer,26.0,CIN,NL,1.5,158.0,656.0,574.0,74.0,129.0,34.0,4.0,20.0,92.0,25.0,3.0,72.0,137.0,0.225,0.319,0.402,0.721,97.0,0.331,99.0,231.0,5.0,8.0,0.0,2.0,1.0,73/4D9H6,,"$750,000 "
Paul Goldschmidt,36.0,STL,NL,1.3,154.0,654.0,599.0,70.0,147.0,33.0,1.0,22.0,65.0,11.0,0.0,47.0,173.0,0.245,0.302,0.414,0.716,98.0,0.326,104.0,248.0,20.0,2.0,0.0,2.0,2.0,*3/DH,,"$26,000,000 "
Brendan Donovan,27.0,STL,NL,2.6,153.0,652.0,587.0,65.0,163.0,34.0,3.0,14.0,73.0,5.0,5.0,47.0,81.0,0.278,0.342,0.417,0.759,112.0,0.332,112.0,245.0,4.0,13.0,0.0,5.0,0.0,74/5DH9,,"$1,181,922 "
Randy Arozarena,29.0,SEA,AL,1.0,54.0,239.0,199.0,32.0,46.0,14.0,0.0,5.0,23.0,4.0,3.0,28.0,68.0,0.231,0.356,0.377,0.733,118.0,0.334,127.0,75.0,4.0,11.0,0.0,1.0,0.0,7/8D,,"$2,830,620 "
Ryan McMahon,29.0,COL,NL,2.5,153.0,645.0,567.0,68.0,137.0,28.0,0.0,20.0,65.0,4.0,6.0,69.0,185.0,0.242,0.325,0.397,0.722,94.0,0.311,90.0,225.0,9.0,3.0,0.0,4.0,4.0,*5/DH,AS,"$12,000,000 "
Nico Hoerner,27.0,CHC,NL,3.7,151.0,641.0,582.0,86.0,159.0,35.0,1.0,7.0,48.0,31.0,6.0,44.0,66.0,0.273,0.335,0.373,0.708,100.0,0.327,105.0,217.0,8.0,12.0,0.0,3.0,1.0,*46/H,,"$11,500,000 "
Isaac Paredes,25.0,CHC,NL,0.4,52.0,212.0,179.0,23.0,40.0,6.0,0.0,3.0,25.0,1.0,0.0,24.0,37.0,0.223,0.325,0.307,0.633,81.0,0.294,86.0,55.0,4.0,5.0,0.0,4.0,0.0,5/H,,"$1,169,892 "
Freddie Freeman,34.0,LAD,NL,4.7,147.0,638.0,542.0,81.0,153.0,35.0,2.0,22.0,89.0,9.0,2.0,78.0,100.0,0.282,0.378,0.476,0.854,142.0,0.37,142.0,258.0,13.0,10.0,0.0,8.0,9.0,*3,"AS,MVP-17","$20,000,000 "
